ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,furnished,facilities,additional_facilities,region,size_sqft,security,squash court,jogging track,lift,multipurpose hall,minimart,swimming pool,gymnasium,barbeque area,sauna,club house,playground,tennis court,cooking allowed,near ktm/lrt,washing machine,internet
100191767,sentul point suite apartment,2020,1700.0,Sentul,apartment,2,1,2,Partially Furnished,"parking, playground, swimming pool, squash court, security, minimart, gymnasium, lift","cooking allowed, near ktm/lrt, washing machine",Kuala Lumpur,743.0,True,True,False,True,False,True,True,True,False,False,False,True,False,True,True,True,False
100322885,arte plus jalan ampang,2018,1550.0,Ampang,service residence,1,1,1,Fully Furnished,"parking, gymnasium, playground, security, lift, swimming pool, multipurpose hall","air-cond, cooking allowed, near ktm/lrt, washing machine",Kuala Lumpur,700.0,True,False,False,True,True,False,True,True,False,False,False,True,False,True,True,True,False
100322866,nova i,2014,1400.0,Segambut,apartment,2,1,1,Fully Furnished,"playground, security, parking, lift, swimming pool","air-cond, cooking allowed, washing machine, near ktm/lrt",Kuala Lumpur,750.0,True,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False
100322813,the park sky residence @ bukit jalil city,2019,2600.0,Bukit Jalil,service residence,2,0,2,Partially Furnished,"parking, playground, swimming pool, security, multipurpose hall, gymnasium, jogging track","cooking allowed, near ktm/lrt",Kuala Lumpur,868.0,True,False,True,False,True,False,True,True,False,False,False,True,False,True,True,False,False
100322809,pv9 residences @ taman melati,2022,2000.0,Setapak,service residence,4,2,2,Partially Furnished,"parking, security, lift, swimming pool, playground, gymnasium, barbeque area, minimart, multipurpose hall","air-cond, cooking allowed, near ktm/lrt, washing machine",Kuala Lumpur,1100.0,True,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,False
100322802,arte plus jalan ampang,2018,1500.0,Ampang,service residence,1,1,1,Fully Furnished,"gymnasium, jogging track, playground, parking, security, lift, swimming pool, sauna, barbeque area, minimart, multipurpose hall, club house, squash court","air-cond, cooking allowed, washing machine, near ktm/lrt",Kuala Lumpur,700.0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
87950203,maxim citilights,2017,1300.0,Sentul,service residence,3,1,2,Fully Furnished,"minimart, jogging track, playground, swimming pool, multipurpose hall, security, lift, parking, gymnasium, sauna, barbeque area","air-cond, cooking allowed, washing machine",Kuala Lumpur,1009.0,True,False,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False
100322212,majestic maxim,2021,1400.0,Cheras,service residence,2,2,2,Not Furnished,"parking, gymnasium, jogging track, lift, barbeque area, security, swimming pool, playground","air-cond, near ktm/lrt, cooking allowed",Kuala Lumpur,650.0,True,False,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False
100322123,majestic maxim,2021,1099.0,Cheras,service residence,2,1,2,Not Furnished,"playground, lift, barbeque area, security, parking, jogging track, gymnasium, swimming pool","air-cond, cooking allowed, near ktm/lrt",Kuala Lumpur,650.0,True,False,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False
100310024,majestic maxim,2021,1099.0,Cheras,service residence,2,1,2,Partially Furnished,"security, swimming pool, parking, jogging track, barbeque area, playground, gymnasium, lift","air-cond, cooking allowed, near ktm/lrt, washing machine",Kuala Lumpur,650.0,True,False,True,True,False,False,True,True,True,False,False,True,False,True,True,True,False
100310022,majestic maxim,2021,1199.0,Cheras,service residence,3,1,2,Not Furnished,"security, swimming pool, parking, jogging track, barbeque area, playground, gymnasium, lift","air-cond, cooking allowed, near ktm/lrt, washing machine",Kuala Lumpur,819.0,True,False,True,True,False,False,True,True,True,False,False,True,False,True,True,True,False
100290514,majestic maxim,2021,1100.0,Cheras,service residence,2,1,2,Not Furnished,"jogging track, parking, security, playground, barbeque area, gymnasium, lift, swimming pool","air-cond, cooking allowed",Kuala Lumpur,650.0,True,False,True,True,False,False,True,True,True,False,False,True,False,True,False,False,False
100322086,28 dutamas,2017,2500.0,Solaris Dutamas,condominium,4,2,3,Partially Furnished,"playground, swimming pool, jogging track, multipurpose hall, security, gymnasium","air-cond, cooking allowed",Kuala Lumpur,1500.0,True,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False
100322078,pangsapuri melur (sentul),2006,1750.0,Sentul,apartment,3,0,2,Partially Furnished,0,0,Kuala Lumpur,1065.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100136931,bayu sentul condominium,2015,1900.0,Sentul,condominium,3,2,2,Partially Furnished,0,0,Kuala Lumpur,1300.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99876261,greenpark,1999,1400.0,Old Klang Road,condominium,3,1,2,Partially Furnished,"parking, security, tennis court, swimming pool, playground, lift, jogging track, minimart, gymnasium, barbeque area","air-cond, cooking allowed, internet",Kuala Lumpur,1270.0,True,False,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True
100322029,majestic maxim,2021,1800.0,Cheras,service residence,3,1,2,Partially Furnished,"security, swimming pool, lift, gymnasium, barbeque area, jogging track, parking, playground, minimart, club house","air-cond, cooking allowed, near ktm/lrt, internet",Kuala Lumpur,819.0,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True
100321936,sri putramas,2004,1600.0,Jalan Kuching,condominium,3,1,2,Fully Furnished,"minimart, swimming pool, sauna, playground, gymnasium, security, tennis court, barbeque area, parking","air-cond, cooking allowed, washing machine",Kuala Lumpur,1100.0,True,False,False,False,False,True,True,True,True,True,False,True,True,True,False,True,False
100321976,putra villa,2007,1800.0,Setapak,condominium,3,0,2,Fully Furnished,0,0,Kuala Lumpur,1066.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99492392,3 towers,2015,2500.0,Ampang Hilir,condominium,2,1,1,Fully Furnished,"security, gymnasium, multipurpose hall, parking, barbeque area, swimming pool",0,Kuala Lumpur,890.0,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False
100036659,one maxim,2020,1300.0,Sentul,service residence,2,1,2,Partially Furnished,"jogging track, playground, parking, swimming pool, gymnasium, sauna, multipurpose hall, security, barbeque area",0,Kuala Lumpur,650.0,True,False,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False
99528357,casa mutiara,2007,2000.0,Bukit Bintang,service residence,2,1,2,Fully Furnished,"gymnasium, sauna, parking, playground, security, swimming pool, barbeque area",0,Kuala Lumpur,742.0,True,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False
100273689,laman tasik,2002,2100.0,Cheras,condominium,4,1,3,Fully Furnished,"parking, security, minimart, playground, swimming pool, gymnasium",0,Kuala Lumpur,1300.0,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False
100033960,the hamilton,2020,2600.0,Wangsa Maju,condominium,4,2,2,Fully Furnished,"playground, jogging track, multipurpose hall, parking, swimming pool, barbeque area, security, gymnasium",0,Kuala Lumpur,1000.0,True,False,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False
99844667,3 towers,2015,2000.0,Ampang Hilir,service residence,1,1,1,Fully Furnished,"barbeque area, multipurpose hall, parking, security, swimming pool, gymnasium",0,Kuala Lumpur,440.0,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False
100321800,the havre @ bukit jalil,2020,2500.0,Bukit Jalil,condominium,3,2,2,Fully Furnished,"security, squash court, jogging track, lift, multipurpose hall, minimart, swimming pool, gymnasium, barbeque area, sauna, club house, parking, playground, tennis court","air-cond, cooking allowed, near ktm/lrt, washing machine",Kuala Lumpur,1028.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
100290798,m3 residency,2017,1600.0,Setapak,condominium,3,1,2,Partially Furnished,0,0,Kuala Lumpur,950.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100321689,majestic maxim,2021,1400.0,Cheras,service residence,2,2,2,Not Furnished,"parking, gymnasium, jogging track, lift, barbeque area, security, swimming pool, playground","air-cond, near ktm/lrt, cooking allowed",Kuala Lumpur,650.0,True,False,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False
100321665,kl traders square residences,2019,1400.0,Gombak,service residence,3,1,2,Not Furnished,"swimming pool, lift, security, parking, gymnasium, sauna, barbeque area, minimart, multipurpose hall, squash court, tennis court, jogging track, club house, playground","air-cond, cooking allowed, near ktm/lrt",Kuala Lumpur,850.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
100321580,seasons garden residences @ wangsa maju,2017,1350.0,Wangsa Maju,apartment,3,1,2,Partially Furnished,0,0,Kuala Lumpur,850.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100321251,maxim citilights,2017,1300.0,Sentul,service residence,3,1,2,Not Furnished,"security, minimart, playground, swimming pool, multipurpose hall, jogging track, lift, parking",near ktm/lrt,Kuala Lumpur,1150.0,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False
100321040,faber ria,1985,1300.0,Taman Desa,condominium,2,1,2,Partially Furnished,"playground, swimming pool, tennis court, squash court, minimart, sauna, club house, parking, security, gymnasium, barbeque area, lift",cooking allowed,Kuala Lumpur,1050.0,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False
23139697,villa wangsamas,2010,1700.0,Wangsa Maju,condominium,3,0,3,Partially Furnished,"parking, security, lift, swimming pool, playground, gymnasium, barbeque area, minimart, multipurpose hall, club house, jogging track","air-cond, cooking allowed, near ktm/lrt, internet",Kuala Lumpur,1267.0,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True
16717632,villa wangsamas,2010,2000.0,Wangsa Maju,condominium,3,1,3,Fully Furnished,"parking, security, lift, swimming pool, playground, gymnasium, barbeque area, minimart, multipurpose hall, club house, jogging track","air-cond, cooking allowed, near ktm/lrt, washing machine, internet",Kuala Lumpur,1267.0,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True
100321008,central residence @ sg besi,2015,1750.0,Sungai Besi,condominium,3,2,2,Fully Furnished,"playground, barbeque area, sauna, multipurpose hall, security, swimming pool, gymnasium, lift, parking","air-cond, cooking allowed, washing machine",Kuala Lumpur,1121.0,True,False,False,True,True,False,True,True,True,True,False,True,False,True,False,True,False
100320875,unio residence,2021,2000.0,Kepong,apartment,2,1,2,Fully Furnished,"minimart, swimming pool, tennis court, jogging track, security, playground, parking, gymnasium, barbeque area, lift, multipurpose hall","air-cond, cooking allowed, washing machine, near ktm/lrt",Kuala Lumpur,872.0,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False
100320954,1 petaling,2012,1100.0,Sungai Besi,condominium,3,1,2,Partially Furnished,"jogging track, swimming pool, playground, security, barbeque area, multipurpose hall","air-cond, cooking allowed, near ktm/lrt, washing machine",Kuala Lumpur,904.0,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,True,False
100320836,unio residence,2021,1900.0,Kepong,service residence,2,1,2,Partially Furnished,"minimart, playground, swimming pool, parking, security, gymnasium, tennis court, lift, barbeque area, jogging track, multipurpose hall",air-cond,Kuala Lumpur,1132.0,True,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False
100140155,rica residence sentul,2021,1700.0,Sentul,condominium,2,0,1,Partially Furnished,"parking, security, swimming pool, minimart, playground, squash court, lift, gymnasium, tennis court, jogging track","near ktm/lrt, air-cond, cooking allowed, washing machine",Kuala Lumpur,700.0,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,False
